编码,产品批次,产品名称,厚度(mm),宽度(mm),长度(mm),合作厂商,材料类型,单位,单位重量必须一致（批量上传的数据重量要全部一致）,仓库,单位重量,数量,入库人,合金,状态,表面,涂层,表面处理,贴膜,用途,内径(cm),外径(cm),包装方式,防潮,防蛀处理,包装纸,入库铝锭价,入库加工费,入库单价,入库总价,出库铝锭价,出库加工费,出库单价,出库总价
010105,7940A,铝卷,0.12,1110,,吴江万航,铝卷,公斤,是,龙顺库,1.05,6014.00,范钦祥,8011,H22,镜面,亲水涂层,单面覆膜,蓝色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,29177.5,10830,550,11380,31295
010105,8460A,铝卷,0.085,1085,,吴江万航,铝卷,公斤,是,龙顺库,1.05,5370.00,范钦祥,8011,H22,镜面,亲水涂层,单面覆膜,蓝色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,29177.5,10830,550,11380,31295
010106,6701A,铝卷,0.085,1085,,吴江万航,铝卷,公斤,是,龙顺库,1.05,4930.00,范钦祥,8011,H22,镜面,亲水涂层,单面覆膜,金色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,29177.5,10830,550,11380,31295
010113,8035I,铝卷,0.075,278,,吴江万航,铝卷,公斤,是,龙顺库,1.05,1934.00,范钦祥,4A13,焊料,镜面,亲水涂层,单面覆膜,蓝色,设备外壳,150,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,29177.5,10830,550,11380,31295
010113,8036I,铝卷,0.075,278,,吴江万航,铝卷,公斤,是,龙顺库,1.05,714.00,范钦祥,4A13,焊料,镜面,亲水涂层,单面覆膜,蓝色,设备外壳,150,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,29177.5,10830,550,11380,31295
010113,8037I,铝卷,0.075,278,,吴江万航,铝卷,公斤,是,龙顺库,1.05,722.00,范钦祥,4A13,焊料,镜面,亲水涂层,单面覆膜,蓝色,设备外壳,150,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,29177.5,10830,550,11380,31295
010113,8038I,铝卷,0.075,278,,吴江万航,铝卷,公斤,是,龙顺库,1.05,898.00,范钦祥,4A13,焊料,镜面,亲水涂层,单面覆膜,蓝色,设备外壳,150,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,29177.5,10830,550,11380,31295
010113,8039I,铝卷,0.075,278,,吴江万航,铝卷,公斤,是,龙顺库,1.05,952.00,范钦祥,4A13,焊料,镜面,亲水涂层,双面覆膜,蓝色,设备外壳,150,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,29177.5,10830,550,11380,31295
010113,8256A,铝卷,0.105,392,,吴江万航,铝卷,公斤,是,龙顺库,1.05,882.00,范钦祥,8011,H22,镜面,亲水涂层,双面覆膜,蓝色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,29177.5,10830,550,11380,31295
010113,8263A,铝卷,0.22,1110,,吴江万航,铝卷,公斤,是,龙顺库,1.05,5856.00,范钦祥,8011,H22,,,双面覆膜,蓝色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,29177.5,10830,550,11380,31295
010113,8295A,铝卷,0.22,1110,,吴江万航,铝卷,公斤,是,龙顺库,1.05,5878.00,范钦祥,8011,H22,,,双面覆膜,蓝色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,29177.5,10830,550,11380,31295
010113,8373A,铝卷,0.13,1110,,吴江万航,铝卷,公斤,是,龙顺库,1.05,5686.00,范钦祥,8011,H22,,,双面覆膜,蓝色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,25994.5,10830,550,11380,48365
010113,8379A,铝卷,0.105,1110,,山西伍甲,铝卷,公斤,是,龙顺库,1.05,5908.00,范钦祥,8011,H22,,,双面覆膜,金色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,25994.5,10830,550,11380,48365
010113,8410G热,铝卷,1.00,1358,,山西伍甲,铝卷,公斤,是,龙顺库,1.05,3504.00,范钦祥,5083,H18,,,双面覆膜,金色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,25994.5,10830,550,11380,48365
010113,8411G热,铝卷,1.00,1358,,山西伍甲,铝卷,公斤,是,荣成库,1.05,984.00,范钦祥,5083,H18,,,双面覆膜,金色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,25994.5,10830,550,11380,48365
010113,8413G热,铝卷,1.00,1220,,山西伍甲,铝卷,公斤,是,荣成库,1.05,6796.00,范钦祥,5052,H34,亚光,亲水涂层,单面覆膜,金色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,25994.5,10830,550,11380,48365
010113,8414G热,铝卷,1.00,1220,,山西伍甲,铝卷,公斤,是,荣成库,1.05,6944.00,范钦祥,5052,H34,亚光,亲水涂层,单面覆膜,金色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,25994.5,10830,550,11380,48365
010113,8416G,铝卷,0.50,1250,,山西伍甲,铝卷,公斤,是,荣成库,1.05,1972.00,范钦祥,5052,H32,亚光,亲水涂层,单面覆膜,金色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,25994.5,10830,550,11380,48365
010113,8442A,铝卷,0.12,985,,山西伍甲,铝卷,公斤,是,荣成库,1.05,5708.00,范钦祥,8011,H22,亚光,亲水涂层,单面覆膜,金色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,25994.5,10830,550,11380,48365
010113,8443A,铝卷,0.11,1100,,河南中孚,铝卷,公斤,是,荣成库,1.05,6506.00,范钦祥,8011,H22,亚光,亲水涂层,单面覆膜,金色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,25994.5,10830,550,11380,48365
010113,8444A,铝卷,0.11,828,,河南中孚,铝卷,公斤,是,荣成库,1.05,4652.00,范钦祥,8011,H22,亚光,亲水涂层,单面覆膜,蓝色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,25994.5,10830,550,11380,48365
010113,8446A,铝卷,0.11,1060,,河南中孚,铝卷,公斤,是,荣成库,1.05,1733.00,范钦祥,8011,H18,亚光,亲水涂层,单面覆膜,蓝色,设备外壳,400,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,25994.5,10830,550,11380,48365
010113,8447A,铝卷,0.11,1060,,河南中孚,铝卷,公斤,是,荣成库,1.05,1376.00,范钦祥,8011,H18,亚光,亲水涂层,单面覆膜,蓝色,设备外壳,400,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,25994.5,10830,550,11380,48365
010113,8458A,铝卷,0.09,1085,,河南中孚,铝卷,公斤,是,荣成库,1.05,5630.00,范钦祥,8011,H22,亚光,亲水涂层,单面覆膜,蓝色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,25994.5,10830,550,11380,48365
010113,8476D,铝卷,0.60,1000,,河南中孚,铝卷,公斤,是,荣成库,1.05,5897.00,范钦祥,1100,H18,亚光,亲水涂层,单面覆膜,蓝色,设备外壳,500,计重,木箱,防潮纸,熏蒸防潮,无,10260,350,10610,25994.5,10830,550,11380,48365
